method, Q1_reply_rce, Q1_retweet_rce, Q1_retweet_comment_rce, Q1_like_rce, Q1_reply_avg_prec, Q1_retweet_avg_prec, Q1_retweet_comment_avg_prec, Q1_like_avg_prec, Q2_reply_rce, Q2_retweet_rce, Q2_retweet_comment_rce, Q2_like_rce, Q2_reply_avg_prec, Q2_retweet_avg_prec, Q2_retweet_comment_avg_prec, Q2_like_avg_prec, Q3_reply_rce, Q3_retweet_rce, Q3_retweet_comment_rce, Q3_like_rce, Q3_reply_avg_prec, Q3_retweet_avg_prec, Q3_retweet_comment_avg_prec, Q3_like_avg_prec, Q4_reply_rce, Q4_retweet_rce, Q4_retweet_comment_rce, Q4_like_rce, Q4_reply_avg_prec, Q4_retweet_avg_prec, Q4_retweet_comment_avg_prec, Q4_like_avg_prec, Q5_reply_rce, Q5_retweet_rce, Q5_retweet_comment_rce, Q5_like_rce, Q5_reply_avg_prec, Q5_retweet_avg_prec, Q5_retweet_comment_avg_prec, Q5_like_avg_prec, TOTAL_reply_rce, TOTAL_retweet_rce, TOTAL_retweet_comment_rce, TOTAL_like_rce, TOTAL_reply_avg_prec, TOTAL_retweet_avg_prec, TOTAL_retweet_comment_avg_prec, TOTAL_like_avg_prec
2021-06-20T12-26-03_38_0.05_noise_xgb_other_target_reproduce_try,16.63791227807908,16.493148266244397,5.9895150996298945,5.761685598179911,0.16476519345970556,0.35128404874651264,0.040846991933292456,0.5691290846287871,19.041430317404494,18.452485888207605,6.919339324271978,6.318664769410032,0.19176586933602674,0.3482431728775144,0.038985631380434815,0.5584601739336135,21.338022346907003,20.360863759432146,8.476867613571937,8.779189012255317,0.2206308978420724,0.36716997479731556,0.04468753619156963,0.5733408722694195,20.061312566136646,21.762349101553102,9.31957026339142,11.118405772808714,0.18336398213185529,0.38030794639931964,0.045215113133001375,0.6069895493249893,15.289683680068189,20.24068962608492,8.41794867608744,13.056563818864442,0.11505036305211457,0.3165747967635666,0.04052629215960838,0.6445681690255316,18.473672237719082,19.46190732830443,7.824648195390533,9.006901794303683,0.1751152611643549,0.3527159879168458,0.04205231295958133,0.5904975698364682
2021-06-20T13-13-15_41_Without_TE_Noise,-12.585719490603209,0.4125306471494561,-6.146190616662284,-12.167885394376965,0.1211784738452119,0.3180248997974516,0.024446132102799913,0.5592943225962173,-2.3790892398693586,7.739039833443629,-4.303713220733707,-3.241459100826116,0.15038604849459117,0.3225702729386979,0.024064927702804485,0.5561679729119796,6.126517344773886,13.491213765462906,-0.7078152830194417,2.565320862940401,0.18418360667101466,0.3500528687549211,0.029967716802815295,0.5711194741118905,7.703332302270427,16.381991294541553,3.757566312398253,5.905522964369247,0.15441583971798134,0.3648171090256241,0.03585552361328042,0.6049286445926418,5.647274780372302,14.23122738732464,4.089429370080122,8.047404914340262,0.10299525360322603,0.2990998870374847,0.03434274189168045,0.6405524502857302,0.9024631393888095,10.451200585584436,-0.6621446875874115,0.22178084928936598,0.14263184446640503,0.33091300751083585,0.029735408422676114,0.586412572899692
2021-06-20T13-37-57_42_Random_Baseline,-559.5574633063576,-222.91582290397426,-2544.5781229694903,-49.45201284826983,0.034757311429796385,0.09291859111802603,0.006313973154132172,0.39068732556969193,-630.4829130473436,-248.44888177863592,-2741.9775876876224,-50.97957006007447,0.030486357789963964,0.08357197808578998,0.005684842316117238,0.3751037844990128,-700.6852252822212,-238.98113603346962,-2687.953034643192,-51.25014288408876,0.02711676761908295,0.08702784328004855,0.005811416856915438,0.37465549835948353,-904.3075477669415,-229.0348535981283,-2844.043218005463,-49.06924549860152,0.020505806438894998,0.09040019436487148,0.005512443552182914,0.39536666547137966,-1360.1641080609932,-295.00671856057477,-2953.278956381201,-46.89864759660403,0.012841255419764868,0.06984670601165893,0.0052141660934718155,0.42135168305452864,-831.0394514927714,-246.8774825749566,-2754.3661839373935,-49.52992377752771,0.025141499739500632,0.08475306257207899,0.005707368394563915,0.39143299139081933
2021-06-20T14-02-45_43_Prior_Baseline,-0.41701849565998206,-0.06282362201479597,-0.09549540810354085,-0.0099673246639842,0.03495418495671074,0.09300253693380682,0.006212765231607558,0.390634010395721,-0.04467511772945354,-0.03694757615271271,-0.3151722427611192,-0.15124527376726427,0.03068259102322403,0.08329993308955279,0.005708005447401076,0.374474736495443,-0.03870930854785737,-0.0006737828134539825,-0.24497503449072422,-0.14520491922525025,0.027182948726474695,0.08681873001551128,0.0058360548484908395,0.37490945757222277,-1.4124206552009744,-0.020834338476882763,-0.475587000839206,-0.0002584673757910494,0.02039615005159195,0.09057628910743588,0.0054702194301073604,0.3953671037646502,-8.406446066517436,-0.82019266029012,-0.6692589624675671,-0.19286136966567557,0.012799393662099217,0.0697740392760941,0.005243742434076714,0.42142710399169725,-2.063853928731141,-0.18829439594959307,-0.3600977297324315,-0.09990747093959307,0.02520305368402013,0.08469430568448018,0.0056941574783367106,0.39136248244394684
2021-06-20T14-34-53_44_No_User_Index,11.52246191553068,11.676801105547408,2.052660877404322,9.021884773214051,0.092220123684825,0.267559327148811,0.011741156867693687,0.5772738897906516,11.109545836132073,9.330986833258613,2.038945214894472,7.914891087304731,0.0931827294780993,0.22738025656499058,0.011391792480638725,0.5507389614258963,10.768777638870898,8.449102308502631,1.871630542365088,7.373308107068577,0.09481544704898623,0.22597827320070046,0.011431937238765467,0.5361530294120177,8.087926308978977,8.500081264196291,1.8613520150673524,7.55565292519671,0.06598167480276086,0.23122111532497425,0.011046116494596678,0.547463595648999,2.8892163725667275,7.280314653596376,2.502611089583995,7.973769261094688,0.030936200011274617,0.1716810471242234,0.011554064355166397,0.5800890731316386,8.875585614415872,9.047457233020264,2.065439947863046,7.967901230775752,0.07542723500518919,0.22476400387273995,0.011433013487372192,0.5583437098818407
2021-06-20T15-52-02_45_No_Item_Based_Features,16.79029315166747,16.830654248668253,5.775677472686558,6.162302446396728,0.16441410289546954,0.3540553107009826,0.03866890263019629,0.5680720405879651,19.305756634553404,18.635041577522436,6.837354602778223,6.178030890411934,0.1919916903912962,0.3500110022662595,0.038160200844764576,0.5561106081168504,21.62140678570269,20.427237475626047,8.474015732051631,8.611570132661871,0.22075803857458914,0.36616597962560604,0.043817014999602076,0.5724266486208532,20.324098980840166,21.92031079081239,9.524507535893068,11.153520963606333,0.18469605018127644,0.38006090148453153,0.04586683020771033,0.6086037452304364,15.341965887092579,20.314187529835127,8.8414917825822,13.007381977699007,0.1158796100938844,0.3151403000107421,0.04149171905091875,0.6452506440953012,18.676704287971262,19.62548632449285,7.8906094251983365,9.022561282155174,0.17554789842730315,0.35308669881762433,0.04160093354663841,0.5900927373302812
2021-06-20T16-54-35_46_6_Max_depth,16.156036333435388,16.075399481227237,6.7025776453513375,6.265248226629994,0.16131232580729063,0.3464249583297828,0.04034372553606948,0.5646049010727409,18.858236915556994,18.25579874428748,7.434313992413943,6.4353182211330795,0.18878832151763714,0.34523533505254783,0.039467582420191646,0.5551122651280038,21.15665377105288,20.170295759407786,8.913368762009789,8.837634215878964,0.21680018741492102,0.36351470213118464,0.04405012473386285,0.5700313412243679,19.77212420729697,21.687663556409987,9.537506092183323,11.218634307453446,0.18089644575079433,0.3773200092444202,0.044775423468679854,0.6054596085161347,14.837467777241287,20.193130036156205,8.467749496825771,12.940006791957659,0.11052671388914836,0.3130815567323963,0.040506197036656796,0.6403102047763901,18.156103800916704,19.27645751549774,8.211103197756833,9.139368352610628,0.17166479887595829,0.34911531229806636,0.04182861063909212,0.5871036641435274
2021-06-20T17-39-48_47_10_Max_depth,16.098999317130215,14.688360881330919,4.328895418687273,5.420155176197428,0.1640107222869515,0.34928954010869767,0.0387010683138444,0.570752874944018,19.059018075072455,17.679409504587916,5.747811419662541,5.828135564572712,0.19278978197742325,0.34702801258500343,0.03666469983749651,0.5561667237659916,21.432999997379063,19.882537380626697,7.675513272076251,8.120499483904487,0.2215840362982314,0.36769945309624497,0.041996394156402564,0.5714911791138938,20.32419614949633,21.43519003237415,8.743393643409181,10.723939237935465,0.18623901880510663,0.3822886654454467,0.04315207276289826,0.6081708753836689,15.684751055597312,20.03987965829395,7.967798914343483,12.74028412098368,0.11854337332056201,0.319572944471827,0.038742650766388734,0.6473368588277887,18.519992918935074,18.745075491442726,6.892682533635747,8.566602716718753,0.17663338653765495,0.35317572314144396,0.03985137716740609,0.5907837024070722
2021-06-21T09-29-22_51_All_20_TE,14.229606997091803,16.654594906582876,7.019478498584409,2.856062260918124,0.1613033091502412,0.35141326981986776,0.04050399910976637,0.5662470198322697,17.96841247729497,18.455688073127806,8.088891299598677,5.022555141209983,0.18923203021177043,0.34929074199105425,0.04088610270000317,0.5572129558240596,20.63516682009302,20.15542151384706,9.658990546443269,7.694934679376808,0.21766933644009978,0.36685701150734856,0.04652949942316276,0.5717770624715899,19.638551678967943,21.620968752356482,10.629639956980885,10.27666686818205,0.18224549691522499,0.3815150078351804,0.04872005347472726,0.6079170035938084,15.303160823167762,20.112730566933134,10.117391832865795,12.258375019403934,0.11341470467157304,0.31756485230890735,0.04326899402882669,0.6467777652471572,17.554979759323096,19.399880762569474,9.102878426894605,7.62171879381818,0.17277297547778186,0.3533281766924717,0.04398172974729724,0.589986361393777
2021-06-21T10-46-36_45_No_Item_Based_Features_15TE,16.308455123631372,16.978448037438408,6.282484204311245,5.5186054969828096,0.1653190526017154,0.3566840348798602,0.03898582877086875,0.5680164166885993,19.008593351765647,18.694482175222415,7.384390239110584,5.820128950004156,0.19268797406102017,0.35231614219629487,0.038956263221032246,0.5568937938416277,21.445790844312352,20.50399957624185,9.028619993877374,8.459550862563848,0.22151294762649876,0.3684657809575373,0.044325449441044676,0.5737025062879902,20.27596882096365,22.05434587085331,9.993774961391221,11.20912447107596,0.1857737914742466,0.3826728863118844,0.046499126615298224,0.6094534207165148,15.472238183317566,20.59128492077268,9.251144633215613,13.075977755841606,0.11717015020120736,0.3177828373372557,0.04172671014960854,0.6453040122551542,18.50220926479812,19.76451211610573,8.38808280638121,8.816677507293676,0.17649278319293765,0.35558433633656655,0.04209867563957049,0.5906740299579771
