method, Q1_reply_rce, Q1_retweet_rce, Q1_retweet_comment_rce, Q1_like_rce, Q1_reply_avg_prec, Q1_retweet_avg_prec, Q1_retweet_comment_avg_prec, Q1_like_avg_prec, Q2_reply_rce, Q2_retweet_rce, Q2_retweet_comment_rce, Q2_like_rce, Q2_reply_avg_prec, Q2_retweet_avg_prec, Q2_retweet_comment_avg_prec, Q2_like_avg_prec, Q3_reply_rce, Q3_retweet_rce, Q3_retweet_comment_rce, Q3_like_rce, Q3_reply_avg_prec, Q3_retweet_avg_prec, Q3_retweet_comment_avg_prec, Q3_like_avg_prec, Q4_reply_rce, Q4_retweet_rce, Q4_retweet_comment_rce, Q4_like_rce, Q4_reply_avg_prec, Q4_retweet_avg_prec, Q4_retweet_comment_avg_prec, Q4_like_avg_prec, Q5_reply_rce, Q5_retweet_rce, Q5_retweet_comment_rce, Q5_like_rce, Q5_reply_avg_prec, Q5_retweet_avg_prec, Q5_retweet_comment_avg_prec, Q5_like_avg_prec, TOTAL_reply_rce, TOTAL_retweet_rce, TOTAL_retweet_comment_rce, TOTAL_like_rce, TOTAL_reply_avg_prec, TOTAL_retweet_avg_prec, TOTAL_retweet_comment_avg_prec, TOTAL_like_avg_prec
2021-06-15T11-07-47_31_normal_noise_less_noise,15.540769147546973,14.304371247853275,5.072670126688994,4.195707116197833,0.16527769334029657,0.3483083529975656,0.042419148945960786,0.5659461066924566,18.28218101823159,17.364260916440767,6.186802458563079,5.431162731966078,0.1915216725760454,0.3483347061254104,0.04157179839486744,0.5554096607478305,21.613688530483945,19.683886884226897,8.389558700897226,8.616420299755346,0.22421170372673266,0.36786300836922353,0.04898743098940077,0.5718089001891862,20.527359999873575,21.43566118399699,8.808739167283996,10.807248376070767,0.18540038071455744,0.3790055617890896,0.046525470715769394,0.607347251522764,15.781377936993124,19.82588022646601,8.200857692210118,12.638268712777956,0.11855298696112149,0.317755608398924,0.040131532421371005,0.6426212250298657,18.349075326625844,18.522812091796787,7.331725629128682,8.337761447353596,0.1769928874637507,0.3522534475360427,0.04392707629347388,0.5886266288364206
2021-06-15T12-18-26_32_normal_noise_more_less_noise,-1.5602620215476426,2.6476780994740823,-0.14371377574944333,-6.620644413168719,0.13468290335578761,0.32418045067044343,0.033347707145235106,0.5604799758040813,6.656127125218658,9.790025621024078,1.294262414544911,0.6261009179144961,0.1639333299910768,0.3286376114927118,0.030703246182948975,0.5558107996846422,13.42507251857853,15.170948494161918,4.871000879575938,5.807096740245521,0.19256246758175785,0.3541309454464551,0.037693129728474266,0.5738270820634966,13.781985725774648,17.98694928611185,6.627072662309441,8.634637978995874,0.1590125671874616,0.36715573854159045,0.0425232149221295,0.606403450218741,10.244284329472041,16.28215749535379,5.4251328670989585,10.816753734460882,0.10185718815289777,0.3008920942851873,0.03594620984251235,0.6435863396986509,8.509441535499246,12.375551799225144,3.614751009555961,3.8527889916896108,0.15040969125379633,0.33499936808727765,0.03604270156426004,0.5880215294939224
2021-06-15T12-38-26_32_0.025noise,10.891281751406623,11.272750208638572,3.909782546844087,1.3526543765683852,0.15381112724696394,0.3373498520119014,0.04104828608889083,0.5667226537450548,15.464238534173324,15.215160445627474,4.250399172827768,4.420127939773044,0.18096727231885257,0.34153656007179395,0.03508144600206915,0.5579267435870426,20.04706813299152,18.197399978725592,7.2245846658329675,8.12573751945841,0.21675498946647087,0.3631555670061921,0.045955916641616815,0.5754359980031551,19.639403832564394,20.4733280962644,7.650422916806898,10.564140535551857,0.18192410031627734,0.37575251953732847,0.044415244047341346,0.6085637594375501,15.484301801352384,18.93846840886384,6.407918255069811,12.436581671443381,0.12002218890322222,0.3139183625184068,0.037928220949543824,0.6442504644322826,16.30525881049765,16.819421427623976,5.888621511476306,7.379848408559016,0.1706959356503574,0.3463425722291245,0.04088582274589239,0.590579923841017
2021-06-15T12-57-40_32_0.05_noise,16.696392819316596,15.988542434303877,5.964709004449375,5.847843480892257,0.1671670836908819,0.3531424826925694,0.042647206794841144,0.569744517083181,18.744311270016556,18.58356994633542,6.484463633730697,6.500899297740348,0.1914232258051473,0.3495051777844298,0.04333559342575598,0.5572403246082088,21.6817082010909,20.380048817519015,8.409136207257095,9.00073112791009,0.22331848293108994,0.36955075966927114,0.04857942777304108,0.5726580628444284,20.239115817400577,21.614470502247762,8.519188537694955,10.925426114851156,0.185120147120461,0.378443007499824,0.045789984711035916,0.606040342618526,15.066680737619798,20.149694621453563,7.690220316726015,13.050398637512828,0.11442678935529456,0.31764145588716525,0.03915868901090538,0.6452279358742594,18.485641769088886,19.34326526437193,7.413543539971627,9.065059731781336,0.17629114578057495,0.3536565767066519,0.043902180343115896,0.5901822366057207
2021-06-15T13-31-49_33_0.05_noise_0maxdeltastep,17.19306231467185,15.806994007718467,6.578871030452227,6.326756895025232,0.16847035085312123,0.3522366348413583,0.04266301088430227,0.5712954520336122,19.386015987269168,18.317730476619353,7.4926811005397,6.4936511023766075,0.1926149047835078,0.3459767288853279,0.041310461975374496,0.5583947703919344,22.04401847799914,20.1304995095671,9.17981725123267,8.770962608423616,0.22540600112518872,0.36534140656060715,0.04927756874869589,0.573906103020978,20.369504303690956,21.50108394206276,9.35888707875191,10.958128641539355,0.1855439512641907,0.37642532419864383,0.04558065925564162,0.6073752893569241,15.291867118374537,20.026727951415644,8.774782653114777,13.12593924411386,0.11650635020824035,0.316987640632122,0.039733497216877044,0.6461297683888335,18.856893640401132,19.156607177476666,8.277007822818256,9.135087698295735,0.17770831164684978,0.3513935470236118,0.04371303961617826,0.5914202766384564
2021-06-16T16-51-46_first_try_ensemble,17.07342318930911,14.601922383845888,7.024299634316011,5.410518155587585,0.1673782694147471,0.3502877998337596,0.04258381413884928,0.5716916488618938,19.087388102270808,17.22501355985615,7.666668229675255,5.474425568899688,0.19088715172875131,0.344823894528686,0.040435899946629425,0.5586249915100672,21.695931607121356,19.207180316195306,9.647368682614355,7.832437279003601,0.223765038124632,0.36402412648429616,0.049749763725908225,0.5742222852659175,20.2029324080234,20.88476427238579,9.987951194805223,10.202525920055717,0.18413910494703092,0.3754967201728271,0.04602034136097624,0.6076731404192747,15.198396615654675,19.66033954250691,9.705580442288397,12.597033326436623,0.1150843640893246,0.3158960508522067,0.03974959713278715,0.6458891957297488,18.65161438447587,18.31584401495801,8.806373636739849,8.303388049996643,0.1762507856608972,0.3501057183743551,0.04370788326103006,0.5916202523573804
2021-06-16T17-24-55_second_try_ensemble,14.31011626305072,16.376758096118138,-3.914069598362069,4.818396564606253,0.16675580515347083,0.3490458314118452,0.040307583048727065,0.570234238288955,16.123355454183518,18.447296680024838,-5.758444696902476,4.860515257928677,0.19113888567417997,0.3437810081692163,0.03793304047137858,0.5574352507970817,18.23070966012047,20.061055767199388,-5.015009788391844,7.464562850244483,0.22396512260376292,0.36361902000402146,0.04741811455416828,0.5734070742420145,16.215835640433706,21.642349629363842,-5.772089744484954,9.985815159640687,0.1835726474780513,0.37541930894656406,0.04359615606489621,0.6075418011967247,8.68043253951557,20.491550364676,-7.488563910117607,12.614151722233458,0.11504524624727697,0.31559740431085404,0.037428121182332824,0.6468764251307259,14.712089911460797,19.403802107476444,-5.58963554765179,7.948688310930711,0.17609554143134837,0.3494925145685002,0.041336603064300585,0.5910989579311003
2021-06-18T12-52-00_35_0.05_noise_neural_try,-497.6278743242223,-44.97708873364241,-1762.4392763416774,-12.488977029219427,0.06977639902937395,0.15357852059372706,0.006524262647153263,0.5086087470290735,-516.2194866374579,-58.755942727611824,-1869.170625479218,-14.910698208113725,0.06579588802014506,0.13337458795743745,0.006063360439492799,0.4899125123221875,-534.8401322316051,-57.834414534591396,-1860.0834329499066,-15.818642930847515,0.061152891177270345,0.13261324832303137,0.00609251797609209,0.48775455179579946,-610.8766461188533,-54.62609868608874,-1919.0404150722898,-17.434289850928387,0.04512424834151639,0.12879510795840302,0.0059236775162198035,0.508236461754197,-786.2646727011859,-75.68249077312343,-2032.9908103274236,-18.427411922769377,0.021439452393785738,0.08971934236255381,0.005680466773962529,0.5242681467262618,-589.165762402665,-58.37520709101155,-1888.744912034103,-15.816003988375687,0.0526577757924183,0.12761616143903054,0.006056857070584097,0.5037560839255039
2021-06-18T13-06-51_36_0.05_noise_neural_try_smaller_lr,-392.2722681728317,-92.0844806468021,-1666.4862644639377,3.092145170656524,0.07259651682685829,0.18414344239429836,0.007438935534104842,0.5470730965538311,-409.6592223901566,-105.88885059995201,-1762.4460934896,1.5981521957949996,0.0659065666816325,0.16104538446201308,0.007629921754076308,0.5231989062506485,-425.76632717641286,-102.07337459363708,-1715.3487495291224,1.769475433910217,0.06084659415484646,0.16007358831625093,0.007932757513653538,0.5164195846581037,-492.17882466964863,-96.84917267293326,-1698.4679656869637,2.685560750503424,0.0450003621667269,0.1568003424426551,0.008015192655088075,0.5212419547100283,-665.8242103961985,-110.35347162028395,-1734.278607213283,3.632902222420442,0.02087221057865023,0.11282483983947333,0.007304621775822475,0.5302244546805699,-477.1401705610497,-101.4498700267217,-1715.4055360765815,2.5556471546571213,0.05304445008174287,0.15497751949093816,0.007664285846549048,0.5276315993706362
2021-06-18T13-22-46_37_0.05_noise_neural_try_smaller_lr_experimental,-453.97514031023087,-106.58720571008602,-1795.0402795389978,4.542238603384763,0.06987579169239709,0.160825373101891,0.007201910491141138,0.5457848431529897,-483.0718622002242,-123.16759289153585,-1880.1967955180198,3.100090893996932,0.06533408268983197,0.13275429498119026,0.007213602381790245,0.5199152458923272,-511.0720043080118,-117.23165443550295,-1830.05456138457,3.348315963247117,0.06012353270803939,0.13100796736123482,0.007731176833122757,0.5128209774164576,-601.210829438339,-109.1213687488565,-1822.8105836695968,4.414406203467591,0.04437488121684142,0.12611842900225906,0.008073770924271292,0.5209230585718876,-814.6865409828628,-117.57945141368636,-1871.7380226304576,4.950155678676305,0.020227456379742378,0.09095444296345623,0.007015954653121754,0.5338773856423039,-572.8032754479337,-114.73745463993353,-1839.9680485483284,4.071041468554542,0.05198714893737044,0.12833210148200627,0.007447283056689437,0.5266643021351932
2021-06-18T14-32-16_38_0.05_noise_neural_try_smaller_lr_higher_noise,-388.6681098341896,-124.0670850075888,-1780.7098079862055,3.8978781160081577,0.07041692631386548,0.15431033872088223,0.007708266337010317,0.547194844587904,-404.07540520933355,-141.9649295871521,-1865.2990897925229,2.4499463379103026,0.06592975842615735,0.12894006685437243,0.0071772044397733735,0.5235289882322492,-416.697542611167,-135.53208583969513,-1819.8499427842441,2.6769539018739463,0.06168082374494406,0.12573909073870243,0.00772553086083453,0.5146838470663793,-471.89576894557746,-126.56710932866476,-1814.2232907391576,3.749285478316755,0.044398427861815304,0.12177064769221646,0.0076380429002788335,0.5199386307281603,-605.7406204086567,-135.82726968663957,-1854.0150675527275,4.590406751023601,0.020586365075920855,0.09033838830091799,0.006980134414695713,0.5333309809658087,-457.4154894017849,-132.7916958899481,-1826.8194397709715,3.472894117026553,0.05260246028454061,0.1242197064614183,0.007445835790518554,0.5277354583161002
2021-06-19T11-27-47_38_0.05_noise_xgb_other_target_reproduce_try,16.934729142641668,16.25558550226519,6.7568147047955,5.7194906360638065,0.16738864834940115,0.3515625000313013,0.045419935313305265,0.5695494056335357,19.05044974344332,18.480053698868957,7.348040322514704,6.252897637035948,0.1930882485685485,0.34803885416833824,0.04409167024300402,0.5580096341824701,21.772528634659494,20.24852369812763,8.910317329205775,8.915993203390482,0.2256283485298532,0.3680916438638529,0.04891339260367075,0.573983129076912,20.217704140555526,21.656447009224056,9.197304360997672,11.04741549040651,0.18460806159037924,0.37790796825387457,0.04519950468120727,0.6068950404578398,15.135185725470258,20.133671581506864,8.43431175960233,13.087568808712035,0.11574966677690227,0.3165166325022489,0.03999024374030366,0.6449684572016883,18.62211947735405,19.354856297998538,8.129357695423197,9.004673155121756,0.17729259476301687,0.35242351976392317,0.044722949316298194,0.5906811333104892
2021-06-19T12-03-38_xgb_models_38_0.05_noise_xgb_other_target_reproduce_try_fixed_TE,17.088707032518812,15.974039431768484,6.920719875423675,6.451899755249391,0.1630206971067338,0.3491165513200151,0.0460312001174937,0.569403267209991,18.84246773056035,18.221532605400625,7.495941733953082,6.437418089167557,0.18720874251206404,0.3455163188006863,0.04418939056334119,0.5559846114397318,21.369774719816846,20.174889354895743,9.292764435486534,8.634837828005647,0.21979093986144183,0.3663961891473985,0.0501164774757541,0.5711898347837226,19.530868861368933,21.60745914335638,9.348701060233012,10.23371463276337,0.18030370864604905,0.3756943122872498,0.04586055606504319,0.6038409968089707,13.708572679285357,20.18433426994899,8.61906367634193,12.38705082558942,0.10693083095460346,0.31492279529942596,0.040573752788836306,0.6432940621511967,18.10807820471006,19.232450961074044,8.335438156287648,8.828984226155077,0.17145098381617843,0.3503292333709552,0.04535427540209369,0.5887425544787226
2021-06-19T12-29-19_39_0.05_noise_xgb_different TE smoothing,13.849052246659566,15.1152284454524,7.173686452929018,1.143455717602293,0.16434874074647265,0.35962136404407335,0.04428914021545019,0.5690690570602006,16.695474865384895,17.498338410114744,7.721007039448868,2.5924332859071253,0.19043631108148634,0.3545989041000887,0.0407208033226852,0.5604031706541972,19.791937810601457,19.24196214310173,9.353351167437552,6.1450194789326895,0.22152351715482949,0.37295451096052956,0.04515225449052608,0.5763203681805541,18.46667411768229,20.960078028572482,9.869984691513778,9.451560973048512,0.18122204632457722,0.3853212051014803,0.04368498885899172,0.6069873317591208,13.938609367321186,19.873098373071553,9.062373123607536,11.964967534761318,0.11724930588453837,0.32279446174862964,0.03851579306205892,0.6403693661230885,16.548349681529878,18.53774108006258,8.63608049498735,6.259487398050387,0.17495598423838082,0.3590580891909603,0.04247259598994242,0.5906298587554322
2021-06-19T12-56-01_40_0.05_noise_xgb_different TE smoothing2,16.934729142641668,16.25558550226519,6.7568147047955,5.7194906360638065,0.16738864834940115,0.3515625000313013,0.045419935313305265,0.5695494056335357,19.05044974344332,18.480053698868957,7.348040322514704,6.252897637035948,0.1930882485685485,0.34803885416833824,0.04409167024300402,0.5580096341824701,21.772528634659494,20.24852369812763,8.910317329205775,8.915993203390482,0.2256283485298532,0.3680916438638529,0.04891339260367075,0.573983129076912,20.217704140555526,21.656447009224056,9.197304360997672,11.04741549040651,0.18460806159037924,0.37790796825387457,0.04519950468120727,0.6068950404578398,15.135185725470258,20.133671581506864,8.43431175960233,13.087568808712035,0.11574966677690227,0.3165166325022489,0.03999024374030366,0.6449684572016883,18.62211947735405,19.354856297998538,8.129357695423197,9.004673155121756,0.17729259476301687,0.35242351976392317,0.044722949316298194,0.5906811333104892
